trimId,trim_name
t31898,Luxury I
t93871,LX
t52096,Premium
t73661,LS
t44082,2.5i
t87479,LX
t40128,Laredo
t32127,Base
t36324,3.2
t86894,1500 136 High Roof Cargo Van
t85943,LX
t91048,S
t82145,AWD
t85495,LS
t15737,LX
t91748,LX
t79406,Premium Luxury
t85083,S
t68983,SE
t69123,Premier
t39980,2.5 X Limited
t51856,Premium
t82647,Custom Crew Cab
t85082,EX
t42462,Sedan with Technology Package
t33769,SEL V6
t69191,Express Quad Cab
t87086,Limited
t26495,2.5i Wagon
t44960,Limited
t70170,R/T Plus RWD
t43779,2.0T quattro Premium Sedan
t79400,AWD
t91749,Touring
t42504,Platinum
t35677,Sedan with Technology Package
t77576,Sport S
t35189,AWD
t93921,X-Line
t85071,GT-Line Turbo
t17703,SR5 V6
t85771,LS
t43505,XLT
t92920,LXS
t42591,2LT
t53794,LT
t48515,Landau
t87153,Limited
t58235,1500 LT
t72934,1.5T LS
t27959,LE
t87499,Sport S
t35339,V6 Premier
t19814,ML 350 4MATIC
t85768,LS
t94064,EX
t85067,EX
t18321,SR5
t43714,335i Sedan RWD
t19863,S 430
t93917,GT-Line
t43807,LX
t37386,335i xDrive Coupe
t74317,350 HD XLT Extended High Roof LWB DRW RWD with Sliding Passenger-Side Door
t41344,C/V Cargo
t26645,SXT RWD
t45174,S
t26603,AWD
t85748,1.5T LS
t91046,EX
t23903,AWD
t27132,EX-L
t27304,Touring LWB
t32335,EX
t30669,S
t85742,1.5T LS
t85772,LT
t44325,Limited Sedan
t91094,SX Turbo
t87083,Laredo E
t38798,SV
t36410,EX
t37107,XLE 8-Passenger
t34561,SE
t17625,FWD
t30151,XLT 4X4
t91050,S
t93879,LX
t26018,AWD
t32334,LX
t91093,S Turbo
t25034,350
t32161,EX
t39788,LS Fleet
t89745,LX
t93919,EX
t35953,EX
t42865,335i xDrive Coupe
t56136,s Grand Touring Hatchback
t87515,GT Plus
t45093,x Sedan
t40127,Limited
t24951,SE
t22757,SL 500
t34437,LX
t94058,LX
t59505,3.2
t32628,SE
t33673,R/T RWD
t85769,LT
t32129,Base V6
t94166,Sport S
t49232,EX
t29620,Limited V6
t40207,E 350 4MATIC
t91947,LS
t39066,Latitude
t38547,EX
t57610,SH-AWD with Technology Package
t87481,SX Turbo
t88105,Limited 35th Anniversary
t44436,V6 SE Fleet
t34456,EX-L
t34036,R 350 4MATIC
t30065,Limited V6
t90113,GT
t56954,GLA AMG 45
t57665,SEL
t35106,xDrive30i
t35969,R 350 4MATIC
t37338,Laredo
t40914,SEL 4Motion
t37867,2.5i Premium
t48210,LE
t9986,4 Dr STD Hatchback
t92928,EX
t33425,2.5 X
t41272,V6 Premier
t39005,GLS Sedan
t89150,Tradesman
t90114,SXT
t38708,EX
t87078,Altitude
t94063,S
t85940,EX
t52812,ML 350 4MATIC
t85749,1.5T LT
t87068,Trailhawk Elite
t25485,3.0L V6 RWD
t62121,2.5i Touring Wagon
t37587,335i Convertible RWD
t2141,LT
t39575,SE
t69465,EX w/ Leather
t58467,EX-L with Nav
t12775,SE
t60227,C AMG 450
t27125,LX
t2188,FWD
t39736,Special Service
t59590,SEL Premium
t86929,Big Horn Crew Cab
t90408,LT
t82278,Base
t73867,SE
t32125,Liftback
t4441,SLT
t1794,Sedan
t32378,E 350 Luxury
t83874,Technology
t83836,GT1 RWD
t38743,HSE
t369,ZXW SES Wagon
t2265,FWD
t77987,SX V6
t79137,LX
t84911,EX
t68992,2.0L SE
t67869,SX V6
t76579,Touring
t76576,EX
t79134,SX Turbo
t72687,Technology
t39186,ZL1 Coupe RWD
t94060,SX Turbo
t89676,Classic Express Quad Cab
t82996,Trailhawk
t68316,L
t84154,Touring
t83467,GT2 RWD
t71507,2.0i Premium
t85085,SX Turbo
t65621,2.4L
t67067,Premiere
t60763,Premium
t67770,2.0T RWD
t35355,Base
t57980,EX
t40424,3.0L RWD
t80284,LE Plus
t74172,S
t85075,X-Line
t88913,S
t83673,LX
t82844,HSE
t82443,xDrive30i
t60797,L 7-Passenger
t59779,Base
t57981,SXL Turbo
t90105,Scat Pack RWD
t42036,LX
t89119,EX V6
t68652,2.0T quattro Premium Sedan
t58046,2.0T Premium
t93888,S
t85091,S
t65968,3.0T quattro Prestige
t93886,EX
t87514,GT
t59583,2SS Coupe RWD
t86943,Tradesman Quad Cab
t66999,LX
t89121,SX V6
t83835,GT1
t76530,2017.5 SV
t69005,EX
t88909,Willys
t93884,SX
t58691,SX
