sp_id,sp_name
51747,Serpentini Chevrolet
51752,VanDevere Chevrolet
51753,Performance Cadillac GMC
51755,Columbiana Buick Cadillac Chevrolet
51760,Cole Valley Chevrolet
51761,Spitzer Auto World Lordstown
51764,Diane Sauer Chevrolet Inc.
51766,Dave Gill Chevrolet
51770,Lavery Automotive Sales and Service
51771,Stratton Chevrolet Co
51772,Mark Wahlberg Chevrolet Buick GMC
51774,Buck Chevrolet
51776,Dan Tobin Buick GMC
51777,Schoner Chevrolet Inc
51792,Chevrolet of Wooster
51800,Craig Smith Chevrolet Buick
51808,Snyder Buick GMC Cadillac
51817,Ballas Buick GMC
51827,Bush Auto Place
51845,Great Lakes GMC Buick
51856,Jeff Schmitt Chevrolet South
51858,Classic Buick GMC of Painesville
51862,Joe Johnson Chevrolet
51865,Sims Buick GMC
51873,Lambert Buick GMC
51875,Smith Chevrolet
51880,Glockner GM Superstore
51883,Hane's Chevrolet
51885,Hometown Chevrolet
51886,Barrys Chevrolet Buick Incorporated
51887,Haasz Automall
51888,Premier GMC
51892,Toth Buick-GMC Truck
51893,Mark Porter Chevrolet Buick GMC Cadillac
51912,Guess Buick Ford GMC Inc.
51915,Chuck Nicholson GMC Mazda
51920,Hugh White Buick
51921,Knippelmier Chevrolet
51938,Kasper Buick GMC
51954,Holman Motors Inc.
51956,Mark Sweeney Buick GMC
51959,Germain Cadillac of Easton
51998,Suburban Chevrolet
52003,Classic Chevrolet Inc.
52005,Keystone Chevrolet
52055,Crestmont Cadillac
52066,Waynesburg Carriage Co
52085,Carr Chevrolet
52122,Reichard Buick GMC
52124,Power Chevrolet
52134,Thomson MacConnell Cadillac
52152,Wright Buick GMC of Wexford
52167,Wright Chevrolet Buick GMC of Baden
52170,Tom Henry Chevrolet
52174,Colussy Chevrolet Incorporated
52180,Nick Chevrolet
52186,Century 3 Chevrolet
52189,Classic Chevrolet
52217,Solomon Chevrolet
52218,Kenny Ross Chevrolet Cadillac
52227,Kenny Ross Chevrolet Buick GMC
52238,Keddie Chevrolet Incorporated
52242,Watson Chevrolet Buick of Blairsville
52246,Brackman Chevrolet
52247,Johnson Motors Chevrolet Cadillac
52258,Memorial Highway Chevrolet
52263,Troy Alan Chevrolet
52284,Redbank Chevrolet
52285,Wood Chevrolet Plumville
52289,Community Chevrolet Incorporated
52297,Crotty Chevrolet Buick
52298,Walker Bros Buick Chevrolet Incorporated
52311,Woy Brothers Buick GMC
52339,Thomas Buick - GMC Truck
52344,Lake Chevrolet
52345,Baglier Buick GMC
52347,Lawrence Chevrolet
52349,Troutman's Chevrolet Buick GMC
52350,Klick Lewis
52351,Regester Chevrolet Incorporated
52359,Blaise Alexander Chevrolet of Greencastle
52361,Walker Motor Company
52367,Buchanan Chevrolet Buick GMC Cadillac
52373,Thornton Chevrolet Incorporated
52375,Apple Chevrolet of Red Lion
52378,Apple Chevrolet Cadillac
52383,Whitmoyer Auto Group
52386,Rick Weaver Buick GMC
52398,Chevrolet Cadillac of Bloomsburg
52403,Murray Chevrolet
52415,Faulkner Chevrolet Cadillac Bethlehem
52423,Brown Daub Chevy of Nazareth
52424,Rentschler Chevrolet
52434,Fairway Chevrolet Subaru
52441,Faulkner Buick GMC Harrisburg
52443,Jennings Chevrolet Buick GMC
52459,Turner Buick GMC
52464,Jones Family of Dealerships
52465,Sherwood Chevrolet Buick GMC
52466,Valley Chevrolet Inc.
52467,Bonner Chevrolet
52474,Quigley Chevrolet
52475,Blaise Alexander Cadillac Buick GMC Truck
52477,Alexander Family Buick GMC
52484,Armen Chevrolet of Ardmore
52488,Bryner Chevrolet
52493,Troy Alan Buick
52499,Star Buick GMC
52502,Armen Cadillac
52512,Del Chevrolet
52520,Abeloff Buick GMC
52524,Edw. J. Schwarz Inc.
52540,Scott Select
52541,MotorWorld Pre-Owned
52555,Love Chevrolet Company
52557,Gene Latta Ford
52576,O'Neil Buick GMC
52580,Faulkner Buick GMC Trevose
52581,Granite Run Buick GMC
52589,Faulkner Buick GMC of West Chester
52592,Nissan 422 of Limerick
52594,Kutztown Auto Co.
52629,Longstreet Chevrolet Buick GMC
52665,Dave Hahler Automotive Incorporated (Chevy/Buick)
